date,frequency
3/04/2020,9
4/04/2020,15
5/04/2020,10
6/04/2020,12
7/04/2020,16
8/04/2020,17
9/04/2020,4
10/04/2020,17
11/04/2020,17
12/04/2020,20
13/04/2020,14
14/04/2020,11
15/04/2020,6
16/04/2020,6
17/04/2020,14
18/04/2020,19
19/04/2020,11
20/04/2020,7
21/04/2020,16
22/04/2020,10
23/04/2020,24
24/04/2020,16
25/04/2020,13
26/04/2020,17
27/04/2020,12
28/04/2020,8
29/04/2020,5
30/04/2020,21
1/05/2020,16
2/05/2020,18
3/05/2020,19
4/05/2020,10
5/05/2020,19
6/05/2020,8
7/05/2020,6
8/05/2020,11
9/05/2020,13
10/05/2020,23
11/05/2020,22
12/05/2020,27
13/05/2020,11
14/05/2020,15
15/05/2020,14
16/05/2020,29
17/05/2020,18
18/05/2020,25
19/05/2020,13
20/05/2020,28
21/05/2020,15
22/05/2020,36
23/05/2020,13
24/05/2020,14
25/05/2020,29
26/05/2020,18
27/05/2020,22
28/05/2020,30
29/05/2020,16
30/05/2020,16
31/05/2020,14
1/06/2020,10
2/06/2020,30
3/06/2020,26
4/06/2020,46
5/06/2020,28
6/06/2020,16
7/06/2020,28
8/06/2020,16
9/06/2020,18
10/06/2020,17
11/06/2020,29
12/06/2020,12
13/06/2020,22
14/06/2020,8
15/06/2020,8
16/06/2020,6
17/06/2020,3
18/06/2020,47
19/06/2020,21
20/06/2020,12
21/06/2020,7
22/06/2020,24
23/06/2020,17
24/06/2020,9
25/06/2020,16
26/06/2020,9
27/06/2020,25
28/06/2020,11
29/06/2020,13
30/06/2020,8
1/07/2020,25
2/07/2020,22
3/07/2020,15
4/07/2020,21
5/07/2020,8
6/07/2020,20
7/07/2020,7
8/07/2020,6
9/07/2020,19
10/07/2020,14
11/07/2020,13
12/07/2020,13
13/07/2020,7
14/07/2020,4
15/07/2020,15
16/07/2020,4
17/07/2020,8
18/07/2020,4
19/07/2020,5
20/07/2020,2
21/07/2020,7
22/07/2020,2
23/07/2020,10
24/07/2020,8
25/07/2020,10
26/07/2020,16
27/07/2020,8
28/07/2020,5
29/07/2020,28
30/07/2020,15
31/07/2020,12
1/08/2020,13
2/08/2020,24
3/08/2020,11
4/08/2020,11
5/08/2020,16
6/08/2020,11
7/08/2020,16
8/08/2020,3
9/08/2020,0
10/08/2020,20
11/08/2020,11
12/08/2020,24
13/08/2020,20
14/08/2020,25
15/08/2020,18
16/08/2020,4
17/08/2020,15
18/08/2020,19
19/08/2020,15
20/08/2020,21
21/08/2020,11
22/08/2020,13
23/08/2020,11
24/08/2020,11
25/08/2020,45
26/08/2020,42
27/08/2020,37
28/08/2020,30
29/08/2020,31
30/08/2020,31
31/08/2020,14
1/09/2020,19
2/09/2020,25
3/09/2020,21
4/09/2020,20
5/09/2020,18
6/09/2020,21
7/09/2020,18
8/09/2020,44
9/09/2020,34
10/09/2020,41
11/09/2020,21
12/09/2020,30
13/09/2020,26
14/09/2020,39
15/09/2020,20
16/09/2020,15
17/09/2020,27
18/09/2020,41
19/09/2020,3
20/09/2020,26
21/09/2020,9
22/09/2020,22
23/09/2020,27
24/09/2020,23
25/09/2020,21
26/09/2020,9
27/09/2020,14
28/09/2020,9
29/09/2020,19
30/09/2020,62
1/10/2020,21
2/10/2020,3
3/10/2020,4
4/10/2020,5
5/10/2020,31
6/10/2020,21
7/10/2020,49
8/10/2020,27
9/10/2020,25
10/10/2020,3
11/10/2020,22
12/10/2020,56
13/10/2020,47
14/10/2020,19
15/10/2020,33
16/10/2020,23
17/10/2020,29
18/10/2020,26
19/10/2020,21
20/10/2020,8
21/10/2020,32
22/10/2020,25
23/10/2020,21
24/10/2020,34
25/10/2020,31
26/10/2020,24
27/10/2020,56
28/10/2020,36
29/10/2020,29
30/10/2020,57
31/10/2020,60
1/11/2020,51
2/11/2020,63
3/11/2020,36
4/11/2020,13
5/11/2020,10
6/11/2020,16
7/11/2020,14
8/11/2020,10
9/11/2020,20
10/11/2020,27
11/11/2020,26
12/11/2020,15
13/11/2020,13
14/11/2020,28
15/11/2020,29
16/11/2020,25
17/11/2020,6
18/11/2020,26
19/11/2020,20
20/11/2020,13
21/11/2020,16
22/11/2020,24
23/11/2020,4
24/11/2020,12
25/11/2020,17
26/11/2020,15
27/11/2020,18
28/11/2020,9
29/11/2020,6
30/11/2020,17
1/12/2020,32
2/12/2020,18
3/12/2020,18
4/12/2020,19
5/12/2020,12
6/12/2020,25
7/12/2020,12
8/12/2020,23
9/12/2020,13
10/12/2020,16
11/12/2020,24
12/12/2020,21
13/12/2020,12
14/12/2020,11
15/12/2020,6
16/12/2020,13
17/12/2020,7
18/12/2020,16
19/12/2020,16
20/12/2020,12
21/12/2020,8
22/12/2020,2
23/12/2020,9
24/12/2020,12
25/12/2020,5
26/12/2020,17
27/12/2020,8
28/12/2020,2
29/12/2020,12
30/12/2020,20
31/12/2020,2
1/01/2021,22
2/01/2021,16
3/01/2021,18
4/01/2021,10
5/01/2021,17
6/01/2021,18
7/01/2021,0
8/01/2021,3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
